Customer_ID,recency_days,frequency,monetary,freq_trend,monetary_trend,recency_trend,consec_inactive_months,gap_mean,gap_std,freq_last3_vs_first3,monetary_cv,active_month_ratio,label_3class,label_binary,country,prob_active_b1,prob_regular_b1,prob_silent_b1,pred_b1,prob_active_b2,prob_regular_b2,prob_silent_b2,pred_b2,in_test_set
12346,133,12,77556.46,-3.0,-67.83333333333333,82.66666666666666,6.0,98.5,68.90754675650557,0.0,4.102129717652276,0.2777777777777778,1,1,United Kingdom,0.056542482,0.94340456,5.2952957e-05,1,0.38523484848484846,0.6067651515151516,0.008,1,False
12347,54,4,2434.96,0.3333333333333333,212.08333333333334,-497.0,10.0,52.0,13.638181696985855,1.3333333333333333,1.8943457108861297,0.2222222222222222,0,0,Iceland,0.9695795,0.030417586,2.9311418e-06,0,0.9753333333333333,0.024666666666666667,0.0,0,False
12348,56,4,1388.3999999999999,0.3333333333333333,109.0,-495.3333333333333,9.0,63.0,17.45470328211473,1.3333333333333333,2.1823263026863384,0.2222222222222222,0,0,Finland,0.9836924,0.016302727,4.935805e-06,0,0.8784642857142859,0.1215357142857143,0.0,0,True
12349,215,2,2221.14,0.0,0.0,-359.66666666666663,7.0,181.0,0.0,1.0,2.8307071131527444,0.1111111111111111,0,0,Italy,0.96889144,0.03106311,4.5438403e-05,0,0.920050329122111,0.07985293391278898,9.673696509979696e-05,0,False
12352,70,6,985.3100000000001,1.0,115.00333333333333,-504.6666666666667,11.0,56.5,22.5,2.0,2.2424048499427465,0.16666666666666666,0,0,Norway,0.97266996,0.0273162,1.3838295e-05,0,0.9032499999999999,0.09674999999999999,0.0,0,False
12356,53,5,5553.38,0.3333333333333333,160.48666666666668,-495.0,10.0,59.333333333333336,15.173075568988057,1.3333333333333333,2.208774810400674,0.2222222222222222,0,0,Portugal,0.97834206,0.021653468,4.4538797e-06,0,0.9486785714285715,0.05132142857142857,0.0,0,True
12358,183,3,2519.01,-0.3333333333333333,-476.60999999999996,99.33333333333334,6.0,177.5,3.5,0.0,2.629771123130446,0.16666666666666666,0,0,Austria,0.9227023,0.077014565,0.0002830759,0,0.7268653846153847,0.2731346153846154,0.0,0,False
12359,113,8,4949.77,-0.6666666666666666,-279.63,37.33333333333333,3.0,83.4,29.431955422635447,0.0,1.7217149302482702,0.3333333333333333,0,0,Cyprus,0.99209154,0.007866414,4.203721e-05,0,0.9241666666666667,0.07583333333333334,0.0,0,False
12360,8,4,2234.41,0.0,268.52666666666664,-259.33333333333337,5.0,151.33333333333334,42.74212078136611,1.0,2.1805281754911903,0.2222222222222222,0,0,Austria,0.9523223,0.043692313,0.0039853537,0,0.7739285714285715,0.19898809523809521,0.02708333333333333,0,False
12361,95,4,451.25,-0.3333333333333333,-31.399999999999995,-129.66666666666666,4.0,131.0,30.865298745786774,0.0,1.9914877732684488,0.2222222222222222,1,1,Belgium,0.23266831,0.7644367,0.0028950423,1,0.3373988095238095,0.6542678571428573,0.008333333333333333,1,False
12362,33,2,884.34,0.3333333333333333,150.08,-518.3333333333334,14.0,69.0,0.0,1.3333333333333333,2.8289570265065405,0.1111111111111111,0,0,Belgium,0.9939997,0.005994665,5.596286e-06,0,0.9237055555555556,0.07629444444444446,0.0,0,False
12369,221,3,1511.15,0.0,0.0,-353.66666666666663,7.0,113.5,78.5,1.0,2.959601310023783,0.16666666666666666,1,1,Austria,0.09130054,0.9086792,2.0270054e-05,1,0.2223531345415148,0.7776468654584854,0.0,1,False
12370,82,6,3217.28,0.0,178.4766666666667,-317.6666666666667,8.0,131.0,96.77809669548166,1.0,2.4768183438121985,0.2222222222222222,0,0,Cyprus,0.9861785,0.013667492,0.00015400385,0,0.8402214912280702,0.1547785087719298,0.005,0,False
12371,217,3,1819.42,0.0,0.0,-357.66666666666663,7.0,235.0,0.0,1.0,3.1522962188209176,0.1111111111111111,0,0,Switzerland,0.90902764,0.090903625,6.876518e-05,0,0.8435714925994112,0.15631422657583982,0.00011428082474891975,0,False
12372,20,2,842.9200000000001,0.3333333333333333,159.9,-498.6666666666667,14.0,83.0,0.0,1.3333333333333333,2.858646374315039,0.1111111111111111,0,0,Denmark,0.96203285,0.03794226,2.4930525e-05,0,0.7963365079365077,0.20366349206349202,0.0,0,True
12373,119,3,927.6500000000001,-0.3333333333333333,-119.30000000000001,-282.33333333333337,10.0,180.5,131.5,0.0,2.2672407913945563,0.16666666666666666,1,1,Austria,0.02390313,0.9759054,0.00019137133,1,0.16859502923976613,0.8314049707602341,0.0,1,False
12374,229,2,2046.29,0.0,0.0,-345.66666666666663,7.0,166.0,0.0,1.0,3.0245448699045836,0.1111111111111111,0,0,Austria,0.9771493,0.022826493,2.4201114e-05,0,0.929587748404864,0.07029797077038703,0.00011428082474891975,0,False
12377,123,4,3266.32,0.0,0.0,-451.6666666666667,6.0,91.0,82.90154803540563,1.0,2.025966307992694,0.2222222222222222,1,1,Switzerland,0.17527589,0.8246556,6.851385e-05,1,0.2283974358974359,0.7716025641025639,0.0,1,False
12379,230,2,692.98,0.0,0.0,-344.66666666666663,7.0,112.0,0.0,1.0,2.8360564318872203,0.1111111111111111,0,0,Belgium,0.7210917,0.27889597,1.23333875e-05,0,0.7261533422584148,0.2737499207764853,9.673696509979696e-05,0,False
12380,273,4,4782.84,-0.3333333333333333,-502.8833333333334,-124.66666666666666,9.0,98.0,36.0,0.0,2.3514742831667763,0.16666666666666666,0,0,Belgium,0.92270344,0.07717571,0.000120879784,0,0.7638528138528139,0.23614718614718616,0.0,0,False
12383,46,4,1559.11,0.6666666666666666,137.41,-518.0,12.0,37.333333333333336,16.75974011996871,1.6666666666666665,2.1438512593776102,0.2222222222222222,0,0,Belgium,0.99899477,0.0010035328,1.702934e-06,0,0.9825,0.0175,0.0,0,False
12388,83,5,1886.7,0.3333333333333333,70.3,-491.6666666666667,5.0,76.25,51.24634133282102,1.3333333333333333,1.8750508504142673,0.2777777777777778,0,0,Australia,0.5289979,0.47093457,6.7536595e-05,0,0.4556547619047619,0.544345238095238,0.0,1,True
12389,210,3,1433.33,-0.3333333333333333,-54.949999999999996,-185.33333333333334,6.0,126.0,38.0,0.0,2.6950687946200222,0.16666666666666666,1,1,Australia,0.18188971,0.815392,0.0027182857,1,0.25902476445123507,0.7409752355487649,0.0,1,False
