Customer_ID,YearMonth,freq_t,monetary_t,recency_t
12346,2009-12-01,5,113.5,12.0
12346,2010-01-01,4,90.0,8.0
12346,2010-02-01,0,0.0,36.0
12346,2010-03-01,1,27.05,28.0
12346,2010-04-01,0,0.0,58.0
12346,2010-05-01,0,0.0,89.0
12346,2010-06-01,1,142.31,1.0
12346,2010-07-01,0,0.0,32.0
12346,2010-08-01,0,0.0,63.0
12346,2010-09-01,0,0.0,93.0
12346,2010-10-01,0,0.0,124.0
12346,2010-11-01,0,0.0,154.0
12346,2010-12-01,0,0.0,185.0
12346,2011-01-01,1,77183.6,12.0
12346,2011-02-01,0,0.0,40.0
12346,2011-03-01,0,0.0,71.0
12346,2011-04-01,0,0.0,101.0
12346,2011-05-01,0,0.0,132.0
12347,2009-12-01,0,0.0,543.0
12347,2010-01-01,0,0.0,543.0
12347,2010-02-01,0,0.0,543.0
12347,2010-03-01,0,0.0,543.0
12347,2010-04-01,0,0.0,543.0
12347,2010-05-01,0,0.0,543.0
12347,2010-06-01,0,0.0,543.0
12347,2010-07-01,0,0.0,543.0
12347,2010-08-01,0,0.0,543.0
12347,2010-09-01,0,0.0,543.0
12347,2010-10-01,1,611.53,-1.0
12347,2010-11-01,0,0.0,29.0
12347,2010-12-01,1,711.79,23.0
12347,2011-01-01,1,475.39,4.0
12347,2011-02-01,0,0.0,32.0
12347,2011-03-01,0,0.0,63.0
12347,2011-04-01,1,636.25,22.0
12347,2011-05-01,0,0.0,53.0
12348,2009-12-01,0,0.0,543.0
12348,2010-01-01,0,0.0,543.0
12348,2010-02-01,0,0.0,543.0
12348,2010-03-01,0,0.0,543.0
12348,2010-04-01,0,0.0,543.0
12348,2010-05-01,0,0.0,543.0
12348,2010-06-01,0,0.0,543.0
12348,2010-07-01,0,0.0,543.0
12348,2010-08-01,0,0.0,543.0
12348,2010-09-01,1,221.16,2.0
12348,2010-10-01,0,0.0,33.0
12348,2010-11-01,0,0.0,63.0
12348,2010-12-01,1,652.8,14.0
12348,2011-01-01,1,187.44,5.0
12348,2011-02-01,0,0.0,33.0
12348,2011-03-01,0,0.0,64.0
12348,2011-04-01,1,327.0,24.0
12348,2011-05-01,0,0.0,55.0
12349,2009-12-01,0,0.0,543.0
12349,2010-01-01,0,0.0,543.0
12349,2010-02-01,0,0.0,543.0
12349,2010-03-01,0,0.0,543.0
12349,2010-04-01,1,1068.52,0.0
12349,2010-05-01,0,0.0,31.0
12349,2010-06-01,0,0.0,61.0
12349,2010-07-01,0,0.0,92.0
12349,2010-08-01,0,0.0,123.0
12349,2010-09-01,0,0.0,153.0
12349,2010-10-01,1,1152.62,2.0
12349,2010-11-01,0,0.0,32.0
12349,2010-12-01,0,0.0,63.0
12349,2011-01-01,0,0.0,94.0
12349,2011-02-01,0,0.0,122.0
12349,2011-03-01,0,0.0,153.0
12349,2011-04-01,0,0.0,183.0
12349,2011-05-01,0,0.0,214.0
12352,2009-12-01,0,0.0,543.0
12352,2010-01-01,0,0.0,543.0
12352,2010-02-01,0,0.0,543.0
12352,2010-03-01,0,0.0,543.0
12352,2010-04-01,0,0.0,543.0
12352,2010-05-01,0,0.0,543.0
12352,2010-06-01,0,0.0,543.0
12352,2010-07-01,0,0.0,543.0
12352,2010-08-01,0,0.0,543.0
12352,2010-09-01,0,0.0,543.0
12352,2010-10-01,0,0.0,543.0
12352,2010-11-01,2,343.8,0.0
12352,2010-12-01,0,0.0,31.0
12352,2011-01-01,0,0.0,62.0
12352,2011-02-01,1,296.5,11.0
12352,2011-03-01,3,345.01,8.0
12352,2011-04-01,0,0.0,38.0
12352,2011-05-01,0,0.0,69.0
12356,2009-12-01,0,0.0,543.0
12356,2010-01-01,0,0.0,543.0
12356,2010-02-01,0,0.0,543.0
12356,2010-03-01,0,0.0,543.0
12356,2010-04-01,0,0.0,543.0
12356,2010-05-01,0,0.0,543.0
12356,2010-06-01,0,0.0,543.0
12356,2010-07-01,0,0.0,543.0
12356,2010-08-01,0,0.0,543.0
12356,2010-09-01,0,0.0,543.0
12356,2010-10-01,1,798.44,19.0
12356,2010-11-01,2,2325.86,5.0
12356,2010-12-01,0,0.0,36.0
12356,2011-01-01,1,1947.62,12.0
12356,2011-02-01,0,0.0,40.0
12356,2011-03-01,0,0.0,71.0
12356,2011-04-01,1,481.46000000000004,21.0
12356,2011-05-01,0,0.0,52.0
12358,2009-12-01,1,1429.83,22.0
12358,2010-01-01,0,0.0,53.0
12358,2010-02-01,0,0.0,81.0
12358,2010-03-01,0,0.0,112.0
12358,2010-04-01,0,0.0,142.0
12358,2010-05-01,0,0.0,173.0
12358,2010-06-01,1,268.1,22.0
12358,2010-07-01,0,0.0,53.0
12358,2010-08-01,0,0.0,84.0
12358,2010-09-01,0,0.0,114.0
12358,2010-10-01,0,0.0,145.0
12358,2010-11-01,1,821.08,0.0
12358,2010-12-01,0,0.0,31.0
12358,2011-01-01,0,0.0,62.0
12358,2011-02-01,0,0.0,90.0
12358,2011-03-01,0,0.0,121.0
12358,2011-04-01,0,0.0,151.0
12358,2011-05-01,0,0.0,182.0
12359,2009-12-01,2,838.89,14.0
12359,2010-01-01,0,0.0,45.0
12359,2010-02-01,0,0.0,73.0
12359,2010-03-01,2,683.34,7.0
12359,2010-04-01,0,0.0,37.0
